Type,Name,Pillar,Category,SubCategory,HasImage,Brand,Description
Product,Mynx Shih Tzu Cake,celebrate,breed-cakes,,Yes,,"Sassy and stylish, this cake is the perfect match for your canine's charming ant"
Product,Smiling Star,celebrate,cakes,,Yes,,"Smile the spotlight on your pup with this smiley star-shaped cake, a tribute to "
Product,United We Win,celebrate,cakes,,Yes,,Celebrate the bond of unity with a cake that stands for togetherness. Select fro
Product,Ultimate Boney Dream Cake,celebrate,cakes,,Yes,,"A majestic bone-shaped centerpiece complemented by four mini delights, crafting "
Product,Star Flower,celebrate,cakes,,Yes,,"This little unicorn star-shaped cake, is a special way to let your pup know just"
Product,Sprinkles,celebrate,cakes,,Yes,,"Dotted with vibrant sprinkles, this bone-shaped cake turns treat time into a par"
Product,Slices,celebrate,cakes,,Yes,,"Every slice is a piece of heaven, tailored for a delightful snacking experience."
Product,Pawpy Love,celebrate,cakes,,Yes,,"A heart-shaped cake that's a cuddly celebration of your bond, brimming with flav"
Product,Pawlicious,celebrate,cakes,,Yes,,"This cake embodies the delicious joy of spoiling your pooch, with each paw print"
Product,Pawfect Love,celebrate,cakes,,Yes,,"A cake that’s a tribute to the perfect love you receive from your furry friend, "
Product,Patches,celebrate,cakes,,Yes,,A patchwork of flavors that come together in a harmonious blend for your pup. Se
Product,Ms. Mahi,celebrate,cakes,,Yes,,"Elegant and enchanting, this cake is as captivating as the lady it's named after"
Product,Moonie,celebrate,cakes,,Yes,,A dreamy delight inspired by tranquil nights and serene slumbers. Select from ou
Product,Mojo,celebrate,cakes,,Yes,,Infuse some magic into treat time with a cake that's sure to bring back the mojo
Product,Maya,celebrate,cakes,,Yes,,"Enigmatic and alluring, a treat wrapped in mystery for the adventurous palate. S"
Product,Furever My Love,celebrate,cakes,,Yes,,"Symbolizing a promise of eternal companionship, this cake is a delicious forever"
Product,French Bulldog,celebrate,breed-cakes,,Yes,,A chic and charismatic treat that embodies the playful charm and distinctive app
Product,Flower Square,celebrate,cakes,,Yes,,"A square cake with a tender paw imprint, capturing the essence of the love share"
Product,Dream Love,celebrate,cakes,,Yes,,A whimsical heart-shaped cake that's as dreamy as the daydreams of chasing squir
Product,Coochie Pie,celebrate,cakes,,Yes,,Cuddle up with this sweet treat that's as endearing as your pup's coochie coos. 
Product,Chow Chow,celebrate,breed-cakes,,Yes,,"Chow Chow Delight: Immerse in the whimsical charm of this Chow Chow-themed cake,"
Product,Boxer,celebrate,breed-cakes,,Yes,,"A robust and affectionate tribute in cake form, capturing the stout heart and am"
Product,Bow Wow,celebrate,cakes,,Yes,,A bark-tastic cake that speaks the universal language of canine happiness. Selec
Product,Big Woof,celebrate,cakes,,Yes,,Go big with bold flavors that echo the resounding woofs of joy from your dog. Se
Product,Barky Bliss,celebrate,cakes,,Yes,,A blissful square confection that's sure to get your dog barking with joy at the
Product,Badmash,celebrate,cakes,,Yes,,"For the playful rebel, a cake that matches their mischievous spirit. Select from"
Product,Awesome Pawsome,celebrate,cakes,,Yes,,"Not just a paw-shaped cake, but a celebration, accompanied by four mini cupcakes"
Product,American Bully,celebrate,breed-cakes,,Yes,,A chic and charismatic treat that embodies the playful charm and distinctive app
Product,Fetchin' Ball Cake,celebrate,cakes,,Yes,,"Doesn't matter if you're team Rafa, Roger or Novak, you can drive down that tenn"
Product,Yappy Bowto,shop,mini-cakes,,Yes,,January Bowto Special – A New Year's Treat with Extra Cheer for your furry best 
Product,Bowto + Bownie,shop,mini-cakes,,Yes,,Indulge in the Bowto + Bownie Delight – Where Every Bite Brings a Bonus Toy! Tre
Product,Flower Power Circle,celebrate,cakes,,Yes,,Bursting with floral notes and a hint of spring to brighten up your dog's day. S
Product,Paneer & Veggies Meal,shop,fresh-meals,,Yes,,"Fresh Paneer &amp; Veggies — Made to Order, Always A protein-packed vegetarian r"
Product,TEST,shop,other,,Yes,,Delicious other made with love for your furry friend.
Product,Assorted Ladoos,celebrate,hampers,,Yes,,Box of 9 Ladoos Get ready to celebrate the festive season with your beloved four
Product,Peanut Butter & Coconut,shop,nut-butters,,Yes,,Indulge your furry friend in the lip-smacking goodness of our Peanut Butter &amp
Product,Cream Cheese & Coconut,shop,treats,,Yes,,Delight your furry companion with our Cream Cheese &amp; Coconut Flakes Dognuts!
Product,Desi Doggy Modaks,celebrate,hampers,,Yes,,Celebrate traditions with your pup! 🎉 Our Doggy Modaks are made with soft rice f
Product,Kibble No More!,celebrate,cakes,,Yes,,Say goodbye to the ordinary with this extraordinary gourmet cake. Select from ou
Product,Peanut Butter Pizza,shop,fresh-meals,,Yes,,"Introducing our ""Pawsome Peanut Pizza"" – a delightful twist on a classic favorit"
Product,Personalized Pupper Pizza,shop,fresh-meals,,Yes,,This woof-tastic treat that's customizable for your beloved pup! This delectable
Product,Floral Boney,celebrate,cakes,,Yes,,"A blossoming blend of edible flowers and herbs, this cake is a bouquet of taste."
Product,Dog Birthday Cake Hamper w/ Clip on Barkday Bandana,celebrate,hampers,,Yes,,"With yummy cakes and treats, pawdorable goodies, pawfect decorations and a banda"
Product,Banana Chips,shop,treats,,Yes,,Indulge your furry friend with our delectable Dehydrated Banana Chips – a health
Product,Custom Treat Jar,shop,treats,,Yes,,Delivery within 7-12 days of ordering Treat Jar Filled With Treats! Doggo being 
Product,Pampered Woof,celebrate,hampers,,Yes,,"Discover the joy of The Doggy Bakery's ""Pampered Pup Treat Trove,"" a compact tre"
Product,Doggo Dad,celebrate,hampers,,Yes,,"Celebrate the dog-loving gentleman in your life with the ""Bark &amp; Brew Dog Da"
Product,Coconut Butter,shop,nut-butters,,Yes,,"Introducing The Doggy Bakery's Edible Coconut Butter Spread, a homemade delight "
Product,Peanut Butter Cookies,shop,nut-butters,,Yes,,Indulge your furry friend with the irresistible taste of our Peanut Butter Cocon
Product,Peanut Butter & Chicken,shop,nut-butters,,Yes,,Indulge your furry friend with the irresistible taste of our Peanut Butter Cocon
Product,Sniffer Mat,shop,accessories,,Yes,,"Ideal for beginners, and dogs who enjoy a breezy challenge. Perfect to slow dogs"
Product,Mint & Coconut Fro-Yo,shop,frozen-treats,,Yes,,4 servings of 125ml each Introducing our delicious Coconut and Mint Dog Frozen Y
Product,Strawberry Fro-Yo,celebrate,frozen-treats,,Yes,,4 servings of 125ml each Introducing our delicious Strawberry Flavor Dog Frozen 
Product,Strawberry Cold Jello Bones,celebrate,frozen-treats,,Yes,,Box of 8 bone-shape pieces Bone-shaped jellos are ideal for ending a pupper fren
Product,Pumpkin Cold Jello Bones,shop,frozen-treats,,Yes,,Box of 8 bone-shape pieces Bone-shaped jellos are ideal for ending a pupper fren
Product,Crunchy Boney,celebrate,cakes,,Yes,,This bone-shaped cake is a treat for the eyes and taste buds! It boasts a base w
Product,Coconut Cold Jello Bones,shop,frozen-treats,,Yes,,Box of 8 bone-shape pieces Bone-shaped jellos are ideal for ending a pupper fren
Product,Pawsome 2.0,celebrate,cakes,,Yes,,It's the ultimate treat for your furry friend's special moments. A cake that's a
Product,Hemp Oil,care,accessories,,Yes,,"Oil is the Way! Hemp Oil is a storehouse of Omegas, Vitamins &amp; Antioxidants."
Product,Shih Tzu Smiles,celebrate,breed-cakes,,Yes,,An adorable replication of the Shih Tzu's charm : That adorable face Net Weight:
Product,Fish & Veggies Meal,shop,fresh-meals,,Yes,,"Fish &amp; Veggies — Omega-Rich, Freshly Cooked for Optimal Health A deliciously"
Product,Custom Clip on Bandana,shop,accessories,,Yes,,"Clip on Bandana, made to stay on perfect for your baby’s birthday photoshoot! Ad"
Product,Chu the Bone - Green,shop,accessories,,Yes,,Chu the Bone Black is a durable dog chew toy made from 100% natural rubber and i
Product,Chu the Bone - Pink,shop,accessories,,Yes,,Chu the Bone Black is a durable dog chew toy made from 100% natural rubber and i
Product,Chu the Bone - Black,shop,accessories,,Yes,,Chu the Bone Black is a durable dog chew toy made from 100% natural rubber and i
Product,Coconut Chips,shop,treats,,Yes,,"The Doggy Bakery Coconut Strips for dogs and cats is good for dog diarrhea, dog "
Product,Diwali Cracker Cookie Box,celebrate,hampers,,Yes,,The easiest way to feel Diwali-Ready this festive season! A seasonal box full of
Product,Calm It - Vetiver Oil,care,accessories,,Yes,,"100% natural, human-grade virgin unrefined coconut oil with vetiver, known for i"
Product,Detangler - Lavender Oil,care,accessories,,Yes,,"Easily brush through matts &amp; fur with our all organic, chemical free dog hai"
Product,Flea Buster - Lemon grass,shop,accessories,,Yes,,"Beginning at the tail and working toward the head, spray your pet’s coat thoroug"
Product,Personalised Bow Name Tag,shop,accessories,,Yes,,A customized engraved dog name tag is a great way to secure your dog with vital 
Product,Personalised Bone Name Tag,shop,accessories,,Yes,,A customized engraved dog name tag is a great way to secure your dog with vital 
Product,Pink Bow Collar,shop,accessories,,Yes,,Genuine waterproofed leather collar. Handmade by Italian artisans with the choic
Product,Suit Up Collar,shop,accessories,,Yes,,Genuine waterproofed leather collar. Handmade by Italian artisans with the choic
Product,Custom Name Engraved Collar,shop,accessories,,Yes,,Genuine waterproofed leather collar. Handmade by Italian artisans with the choic
Product,Foodie Bandana,shop,accessories,,Yes,,"Clip on Bandana, made to stay on perfect for your baby’s birthday photoshoot! Ad"
Product,Rakhi Celebration Box,shop,hampers,,Yes,,Celebrate the bond with your furry best friend in the most delicious way! Our Co
Product,Ms.Doggo Cake,celebrate,cakes,,Yes,,Elegantly crafted for the refined canine lady with a taste for the finer things.
