id,name,base_price,pillar,category,type,description
svc-stay-cfb19d45,Puppy Kindergarten Stay,1299,stay,boarding,,Socialization-focused boarding
svc-stay-66f12a22,Pet Hotel Pool Access,499,stay,amenities,,Swimming pool day pass
svc-stay-96af6b89,Extended Stay Discount,24999,stay,packages,,30-day boarding package
svc-stay-bee84036,Special Needs Boarding,2499,stay,boarding,,Medical care included
svc-stay-6e89377d,Holiday Pet Hotel,1999,stay,boarding,,Festive themed stays
svc-stay-b08656a8,Pet Playgroup Session,399,enjoy,activities,,Supervised group play
svc-travel-96ad5c22,Pet Travel Insurance,2999,travel,insurance,,Comprehensive coverage
svc-travel-128855a2,Airline Pet Booking,4999,shop,services,,Flight booking assistance
svc-travel-718ace51,Pet Hotel Finder,499,stay,services,,Find pet-friendly stays
svc-travel-da888f2b,International Vet Check,1999,shop,services,,Travel health certificate
svc-travel-c36b8834,Pet Relocation Service,14999,shop,relocation,,Complete moving service
svc-enjoy-f676cf07,Doggy Birthday Party,2999,enjoy,events,,Full birthday celebration
svc-enjoy-bd8e74a7,Pet Spa Day,1499,enjoy,experiences,,Relaxation and pampering
svc-enjoy-eabfa586,Dog Beach Day,599,enjoy,activities,,Beach outing package
svc-enjoy-f662a5ef,Pet Movie Night,799,enjoy,events,,Outdoor cinema for pets
svc-enjoy-c2ccdd9c,Hiking Trail Pass,399,enjoy,activities,,Access to pet trails
svc-enjoy-5a8978d2,Pet Art Class,999,learn,classes,,Create art with your pet
svc-enjoy-c4374ad1,Doggy Yoga Session,699,learn,classes,,Doga class for you both
svc-enjoy-edad76f0,Sunrise Dog Walk,499,enjoy,activities,,Group morning walks
svc-enjoy-dbe300ab,Pet Costume Party,799,enjoy,events,,Themed costume event
svc-enjoy-8cb5de63,Doggy Dance Class,899,learn,classes,,Learn tricks together
svc-enjoy-9ed5a32d,Pet Camping Trip,3999,enjoy,experiences,,Overnight camping adventure
svc-enjoy-1ffae7ad,Bubble Play Session,299,enjoy,activities,,Pet-safe bubble fun
svc-enjoy-aeb3d517,Pet Photobooth Access,399,enjoy,experiences,,Fun photo opportunities
svc-fit-da240769,Hydrotherapy Session,1299,shop,therapy,,Water-based exercise
svc-fit-89526281,Personal Dog Trainer,1999,learn,training,,One-on-one training
svc-fit-773d1514,Treadmill Training,799,fit,fitness,,Indoor running session
svc-fit-0abbc0b8,Canine CrossFit,899,fit,fitness,,High-intensity workout
svc-fit-cb1e54ed,Swimming Lessons,1499,learn,classes,,Learn to swim safely
svc-fit-bdfea102,Obstacle Course Pass,699,enjoy,activities,,Access to agility course
svc-fit-ca1d02b3,Canine Massage Session,999,care,wellness,,Post-workout recovery
svc-fit-196b6fe2,Monthly Fitness Plan,4999,fit,programs,,Customized workout plan
svc-fit-e863d305,Balance Ball Training,699,learn,classes,,Core strengthening
svc-fit-de7330a4,Sprint Training Session,599,fit,fitness,,Speed and agility
svc-learn-76313bd3,Basic Obedience Course,2999,learn,training,,Foundation training
svc-learn-1feabe4b,Puppy Socialization Class,1499,learn,classes,,Early social skills
svc-learn-f285fc00,Advanced Commands Training,3999,learn,courses,,Complex commands
svc-learn-ad2ada40,Trick Training Workshop,999,learn,workshops,,Fun tricks to learn
svc-learn-bdff5948,Behaviour Modification,4999,shop,programs,,Address problem behaviours
svc-learn-332dfec9,Service Dog Training,9999,learn,specialized,,Professional service training
svc-learn-a6904223,Therapy Dog Certification,5999,shop,certification,,Become a therapy team
svc-learn-4781e95d,Recall Training Intensive,2499,learn,courses,,Perfect recall every time
svc-learn-2e9e8ba7,House Training Program,1999,learn,programs,,Potty training success
svc-learn-cb9efa29,Separation Anxiety Course,3499,learn,courses,,Build independence
svc-learn-a10dd645,Canine Good Citizen Prep,2999,shop,certifications,,CGC certification prep
svc-learn-d28a0927,Online Training Course,1499,learn,training,,Learn at your pace
svc-learn-f44696cb,Group Training Classes,999,learn,classes,,Social learning
svc-learn-f64be77d,Private Training Session,1999,learn,training,,One-on-one instruction
svc-learn-403fe5c2,Reactive Dog Workshop,2999,shop,workshops,,Help reactive dogs
svc-learn-a3b0b70a,Nose Work Introduction,1299,learn,classes,,Scent detection basics
svc-care-9e3e93a4,Annual Wellness Checkup,1999,care,checkups,,Comprehensive health exam
svc-care-d91b0143,Dental Cleaning,3999,shop,dental,,Professional dental care
svc-care-1377d639,Flea & Tick Prevention,999,shop,preventive,,Monthly protection
svc-care-ab29b4f4,Microchipping Service,999,shop,services,,Permanent ID implant
svc-care-c4f7e586,Allergy Testing,2999,shop,diagnostics,,Identify allergies
svc-care-6cc875d7,Blood Panel Test,1999,shop,diagnostics,,Complete blood work
svc-care-4c49bf18,Heartworm Prevention,1499,shop,preventive,,Monthly heartworm protection
svc-care-48c44b71,Anxiety Relief Drops,799,care,wellness,,Natural calming aid
svc-care-72f32b25,Pain Management Plan,2999,shop,treatments,,Chronic pain care
svc-care-9edbbfba,Wellness Blood Test,1499,care,diagnostics,,Preventive screening
svc-advisory-893ea747,New Pet Parent Consult,799,shop,consultations,,First-time owner guidance
svc-advisory-a40e35c5,Multi-Pet Household Plan,1499,shop,planning,,Managing multiple pets
svc-advisory-9869b0bb,Pet Insurance Review,499,shop,financial,,Insurance comparison
svc-advisory-868116bf,Vet Selection Assistance,599,shop,guidance,,Find the right vet
svc-advisory-ec3071d6,Pet Budget Planning,699,shop,financial,,Financial pet planning
svc-advisory-f318ce10,Exercise Plan Consult,899,fit,consultations,,Custom fitness plan
svc-advisory-15cac1ec,Diet Transition Plan,799,shop,planning,,Safe food switching
svc-advisory-4dff9608,Pet Safety Audit,999,shop,assessments,,Home safety check
svc-advisory-4bcf8a7b,Training Method Consult,699,learn,consultations,,Find right training style
svc-advisory-4dcadc67,End-of-Life Planning,999,shop,planning,,Compassionate guidance
svc-advisory-cd79487b,Rehoming Consultation,599,shop,consultations,,Responsible rehoming help
svc-fit-20c869ef,Personal Fitness Assessment,1499,fit,fitness_assessment,,"Comprehensive fitness evaluation for your pet including body condition score, mobility check, and personalised exercise plan"
svc-fit-cd0415bd,Agility Training Sessions (4 Pack),2499,fit,exercise_plan,,"Fun agility training sessions to improve coordination, confidence and fitness"
svc-fit-0706f65f,Swimming Therapy Session,1299,fit,exercise_plan,,Low-impact aquatic exercise perfect for senior pets or those recovering from injury
svc-learn-c970f784,Puppy Foundation Course,4999,learn,puppy_training,,"Essential training for puppies 8-16 weeks covering socialisation, basic commands, and house training"
svc-learn-59efacc8,Basic Obedience Training (8 Sessions),6999,learn,basic_obedience,,"Master sit, stay, come, heel, and leash walking with certified trainers"
svc-learn-86a761b7,Behaviour Modification Programme,8999,learn,behavior_modification,,"Address specific behavioural issues like aggression, anxiety, or excessive barking"
svc-learn-1c73605c,Advanced Tricks & Commands,5499,learn,advanced_training,,"Fun advanced training including tricks, off-leash reliability, and complex commands"
svc-learn-9f57f471,Private In-Home Training Session,2499,learn,basic_obedience,,One-on-one training session at your home for personalised attention
svc-groom-f1f657ff,Spa Bath & Pamper Session,2499,shop,spa_bath,,"Luxury spa experience with aromatherapy bath, massage, and premium conditioning"
svc-groom-34eaf366,Nail Trim & Paw Care,499,care,nail_care,,Professional nail trimming with paw pad moisturising treatment
svc-groom-fed640c9,Breed-Specific Styling,2999,shop,styling,,Expert breed-standard styling by certified groomers familiar with your breed
svc-advisory-94989eb8,Behaviour Consultation,2999,advisory,behaviour,,60-minute consultation with certified animal behaviourist to address concerns
svc-advisory-4dd08198,Nutrition Planning Session,1999,advisory,nutrition,,Personalised nutrition plan developed by veterinary nutritionist
svc-advisory-bad10d2a,Senior Pet Care Consultation,1499,advisory,consultation,,Comprehensive guidance for caring for your ageing pet with comfort and dignity
svc-advisory-f696c03b,New Pet Parent Coaching,2499,advisory,coaching,,One-on-one coaching for new pet parents covering everything from feeding to training
svc-advisory-9cfa5cb2,Breed Selection Guidance,999,advisory,breed_selection,,Expert advice to help you choose the perfect breed for your lifestyle
svc-paperwork-9c3cb546,Pet Passport Application Service,3999,paperwork,travel,,Complete assistance with pet passport application including documentation and vet coordination
svc-paperwork-5f32695e,KCI Registration Assistance,2499,paperwork,documentation,,Help with Kennel Club of India registration including pedigree verification
svc-paperwork-5e994d0f,Medical Records Digitisation,999,paperwork,medical,,Convert all physical medical records to secure digital format with cloud backup
svc-paperwork-e96964aa,Import/Export Documentation,7999,paperwork,documentation,,Complete documentation assistance for international pet relocation
svc-emergency-8d11080b,24/7 Emergency Helpline Subscription,2999,emergency,helpline,,Annual subscription to 24/7 veterinary emergency helpline with instant advice
svc-emergency-afc24ad7,Lost Pet Alert Service,999,emergency,lost_pet,,"Instant alert broadcast to local community, shelters, and veterinary clinics"
svc-emergency-84b8d7ec,First Aid Training Course,3499,emergency,training,,Learn essential pet first aid skills from certified professionals
svc-adopt-899ac12c,Adoption Application Processing,499,adopt,adoption_process,,Complete adoption application processing with background checks and home visit
svc-adopt-8baf7a60,Adoption Counselling Session,999,adopt,consultation,,Expert guidance to help you find the perfect pet match for your family
svc-adopt-bc5b1cf3,Shelter Support Donation,500,adopt,donation,,Direct donation to partner shelters to support rescued animals
svc-farewell-0b79f1d7,Private Cremation Service,4999,farewell,cremation,,Dignified private cremation with ashes returned in an elegant urn
svc-farewell-caa3632b,Rainbow Bridge Ceremony,2499,farewell,ceremony,,Touching farewell ceremony with readings and memorial moment
svc-farewell-2b3012b4,Grief Support Counselling,1499,farewell,grief_support,,Professional pet loss counselling to help you through this difficult time
svc-farewell-6374faf4,Paw Print Memorial,999,farewell,memorial,,Professional clay paw print impression as a lasting tribute
svc-insure-4c7b4100,Basic Health Coverage,2999,insure,insurance,,Essential health insurance covering accidents and basic illnesses
svc-insure-d823ef58,Comprehensive Pet Insurance,5999,insure,comprehensive,,"Full coverage including accidents, illness, surgeries, and preventive care"
svc-insure-45d2f162,Senior Pet Insurance,4499,insure,senior_coverage,,Specialised coverage for pets over 7 years with pre-existing condition options
svc-insure-3e2d91fd,Wellness Add-On,1499,insure,wellness,,Add preventive care coverage including vaccinations and annual check-ups
svc-insure-9212f433,Travel Insurance for Pets,999,insure,travel_insurance,,Coverage for pets during domestic and international travel
svc-community-6898a12a,Dog Park Meetup Pass (Monthly),999,community,meetups,,Monthly pass for organised dog park meetups with socialisation activities
svc-community-6771dc01,Pet Parent Social Club Membership,2499,community,membership,,Annual membership to exclusive pet parent community with events and networking
svc-community-81fae822,Breed-Specific Playdate,499,community,playdates,,Organised playdate with dogs of the same breed for specialised socialisation
svc-community-96d0306f,Pet-Friendly Event Ticket,799,community,events,,Entry to premium pet-friendly events including festivals and exhibitions
svc-community-7258b354,Pet Photography Meetup,1499,community,photo_meetup,,Join other pet parents for a fun photo session with professional photographer
svc-bundle-fit-transformation,Complete Fitness Transformation,8999,fit,fitness_bundle,,"12-week programme combining assessment, weight management, and exercise sessions"
svc-bundle-learn-puppy-starter,Puppy Learning Journey,9999,learn,training_bundle,,Complete puppy training from foundation through basic obedience
svc-bundle-groom-pamper-day,Ultimate Pamper Day,4499,care,grooming_bundle,,"Full day of pampering including spa bath, full grooming, and de-shedding"
svc-bundle-advisory-new-parent,New Pet Parent Essentials,4999,advisory,advisory_bundle,,"Everything new pet parents need including coaching, nutrition, and behaviour guidance"
svc-bundle-insure-complete-protection,Complete Protection Plan,7499,insure,insurance_bundle,,Full insurance coverage with wellness add-on and travel protection
svc-PROD-F1680CB37170,IATA Approved Travel Crate - Small,0,travel,travel,,
svc-PROD-AF47C448D1C4,IATA Approved Travel Crate - Medium,0,travel,travel,,
svc-PROD-B6630E1C959D,IATA Approved Travel Crate - Large,0,travel,travel,,
svc-PROD-F8008846F354,Portable Pet Water Bottle,0,travel,travel,,
svc-PROD-66EA6B650090,GPS Smart ID Tag,0,travel,travel,,
svc-PROD-4897907A5EBE,Premium Deshedding Brush,0,care,care,,
svc-PROD-BF7EBA0D2EC2,Safety Nail Clipper Set,0,care,care,,
svc-PROD-CD37054E7D05,Gentle Oatmeal Shampoo,0,care,care,,
svc-PROD-CC3AD8944742,Ear Cleaning Solution,0,care,care,,
svc-PROD-7FBD4D907103,Biodegradable Poop Bags (120 Count),0,care,care,,
svc-PROD-8C4134CAF38F,Calming Pheromone Spray,0,care,care,,
svc-PROD-C1600C3F930F,Pet Dining Placemat,0,dine,dine,,
svc-PROD-62236491D609,Dine-Time Calming Spray,0,dine,dine,,
svc-PROD-3E55A7BAFAC4,Caf Ready Bandana,0,dine,dine,,
svc-PROD-639D63468799,Reusable Pup Cup,0,dine,dine,,
svc-PROD-53AC5CACA0BB,Outdoor Dining Mat,0,dine,dine,,
svc-PROD-FBB90DF3D120,Caf Cooling Vest,0,dine,dine,,
svc-PROD-CDADEE5AF32A,Fresh Breath Dental Chews,0,dine,dine,,
svc-fit-prod-915b63cd,Dog Yoga Mat,1299,fit,fit,,Non-slip yoga mat designed for pet stretching and relaxation exercises. Perfect for doga sessions with your furry friend.
svc-fit-prod-cc80aef8,Interactive Fetch Launcher,2499,fit,fit,,Automatic ball launcher with adjustable distance settings. Great for high-energy dogs who love fetch.
svc-fit-prod-ec10e862,Swimming Vest (All Sizes),1799,fit,fit,,High-visibility flotation vest for water-loving dogs. Adjustable straps and handle for easy lifting.
svc-fit-prod-358bfdea,Treadmill for Dogs,15999,fit,fit,,Indoor exercise solution for dogs. Variable speed settings and safety rails. Perfect for rainy days or apartment living.
svc-seed-stay-40a736ce,Standard Boarding - 1 Night,999,stay,boarding,,Comfortable overnight stay with meals
svc-seed-stay-25beac5b,Premium Suite - 1 Night,1499,stay,boarding,,Luxury suite with AC and webcam access
svc-seed-stay-b4d82068,Daycare Pass - Single Day,599,stay,daycare,,Full day of play and supervision
svc-seed-stay-e053f179,Daycare Pack - 10 Days,4999,stay,daycare,,10-day daycare pass with 2 bonus days
svc-seed-stay-b06d0e4e,Home Boarding Service,1299,stay,boarding,,Stay with a certified pet host
svc-seed-stay-35e67a6c,Puppy Daycare (under 1 Year),699,stay,daycare,,Specialized care for young puppies
svc-seed-stay-f621ab50,Senior Dog Stay,1199,stay,boarding,,Gentle care for senior pets
svc-seed-stay-5cc83de6,Medical Boarding,1799,stay,boarding,,Boarding with medication administration
svc-seed-stay-96811e4b,Holiday Pet Sitting,1599,stay,boarding,,In-home pet sitting during holidays
svc-seed-stay-c60487d8,Airport Pickup & Drop,799,stay,services,,Pet transport to/from airport
svc-seed-travel-c9c0c605,International Flight Assistance,9999,shop,services,,End-to-end international travel support
svc-seed-travel-48f44771,Pet-Friendly Hotel Booking,499,shop,services,,We find the perfect pet-friendly stay
svc-seed-care-c87e3042,Full Grooming Session,999,care,grooming,,"Bath, haircut, nail trim, ear cleaning"
svc-seed-care-ee82dfd6,Puppy First Groom,699,care,grooming,,Gentle introduction to grooming
svc-seed-care-3e3213a3,Flea & Tick Prevention Pack,799,care,health,,3-month protection pack
svc-seed-care-c9ee4699,Joint Support Supplements,899,care,health,,Glucosamine & chondroitin formula
svc-seed-care-acd7d9dc,Skin & Coat Supplements,699,care,health,,Omega-rich formula for shiny coat
svc-seed-care-3421b3a8,Vet Video Consultation,499,care,health,,Online vet consultation
svc-seed-enjoy-d9d90d45,Dog Park Playdate Booking,399,enjoy,services,,Organized playdate at local park
svc-seed-enjoy-dd8937e5,Swimming Pool Session,799,enjoy,services,,Supervised pool time for dogs
svc-seed-enjoy-53d38976,Agility Course Access,599,enjoy,services,,Access to agility training course
svc-seed-fit-9fbbea2b,Personal Training Session,999,fit,training,,One-on-one fitness training
svc-seed-fit-6e3038cf,Weight Loss Program (4 Weeks),3999,fit,programs,,Structured weight management program
svc-seed-fit-ce084921,Puppy Fitness Starter,2499,fit,programs,,Age-appropriate exercise program
svc-seed-fit-cee46735,Senior Mobility Program,2999,fit,programs,,Gentle exercises for older dogs
svc-seed-fit-bfc542fb,Canine Treadmill Session,599,fit,training,,Supervised treadmill workout
svc-seed-fit-92c2a48f,Swimming Fitness Class,799,fit,training,,Low-impact aqua fitness
svc-seed-fit-0f7980a3,Agility Training Course,4999,fit,programs,,8-week agility training program
svc-seed-fit-dc3c3a43,Monthly Fitness Subscription,2999,fit,programs,,Unlimited fitness sessions
svc-seed-fit-a62e3b62,Dog Yoga (Doga) Session,599,fit,training,,Relaxing yoga with your dog
svc-seed-learn-bb2c3631,Puppy Kindergarten (8 Weeks),5999,learn,training,,Foundation training for puppies
svc-seed-learn-02b0a368,Advanced Training Program,7999,learn,training,,Complex commands & tricks
svc-seed-learn-63540423,Behavior Modification,6999,learn,training,,Address specific behavior issues
svc-seed-learn-3e36e599,Socialization Classes,2499,learn,training,,Safe exposure to new experiences
svc-seed-learn-4b9c4d98,Trick Training Course,3499,learn,training,,Fun tricks to impress everyone
svc-seed-paperwork-34b4f03d,Pet Registration Service,999,paperwork,documentation,,Complete municipal registration
svc-seed-paperwork-4a148e22,Pet Insurance Consultation,499,paperwork,consultation,,Find the right pet insurance
svc-seed-paperwork-6b8dd44e,Vaccination Record Book,299,paperwork,documentation,,Official vaccination record
svc-seed-paperwork-c3fef725,Pet Will & Trust Service,4999,paperwork,legal,,Legal protection for your pet's future
svc-seed-paperwork-f835e76f,Breeding License Assistance,3999,paperwork,documentation,,Help with breeding permits
svc-seed-advisory-2a9fd38d,Pre-Adoption Counseling,799,advisory,consultation,,Choose the right pet for your family
svc-seed-advisory-c58433b2,New Pet Parent Guidance,999,advisory,consultation,,Everything you need to know
svc-seed-advisory-1089da9f,Multi-Pet Household Advisory,1499,advisory,consultation,,Introducing new pets safely
svc-seed-advisory-b4e6501b,Breed Selection Service,1999,shop,consultation,,Find your perfect breed match
svc-seed-advisory-08449aa0,Pet-Proofing Home Audit,1499,advisory,services,,Make your home pet-safe
svc-seed-emergency-ff35f1cb,24/7 Emergency Vet Hotline,299,emergency,emergency,,Round-the-clock vet access
svc-seed-emergency-0fba5b04,First Aid Training Workshop,1999,travel,training,,Learn pet first aid
svc-seed-emergency-c46d5e62,Poison Control Consultation,499,emergency,emergency,,Immediate toxicity guidance
svc-seed-emergency-8fa7b9f2,Lost Pet Search Service,1999,emergency,services,,Professional pet search team
svc-seed-farewell-d7cdaca0,Cremation Service - Standard,3999,shop,cremation,,Dignified cremation service
svc-seed-farewell-a55e74fd,Cremation Service - Premium,6999,shop,cremation,,Private cremation with ceremony
svc-seed-farewell-479e1cf7,Paw Print Keepsake,999,farewell,memorial,,Clay paw print impression
svc-seed-farewell-6629655d,Photo Memorial Frame,1499,farewell,memorial,,Custom photo memorial
svc-seed-farewell-94125864,Memorial Garden Stone,2499,farewell,memorial,,Engraved garden memorial
svc-seed-farewell-15584e8a,Pet Loss Counseling Session,999,farewell,services,,Grief support counseling
svc-seed-adopt-45858257,Adoption Counseling,0,adopt,services,,Free adoption guidance
svc-seed-adopt-54adefbc,Rescue Dog Rehabilitation,4999,adopt,services,,Behavior support for rescues
svc-seed-adopt-71274095,Foster-to-Adopt Program,0,adopt,programs,,Try before you commit
svc-seed-adopt-ffcdaa55,Senior Pet Adoption Support,999,adopt,services,,Support for adopting older pets
svc-seed-adopt-13400197,Second Chance Sponsorship,500,adopt,donation,,Sponsor a shelter pet
svc-seed-shop-e1b40287,Grooming Brush Set,799,shop,grooming,,Complete brush collection
svc-svc-celebrate-7f5048e6,Birthday Pawty Planning - Home,4999,celebrate,party-planning,,"Complete birthday celebration planning at your home. Includes décor, cake coordination, photography, and party games for your furry friend and their pals."
svc-svc-celebrate-1d7dabb1,Birthday Pawty Planning - Caf/Venue,7999,celebrate,party-planning,,"Premium birthday celebration at a pet-friendly café or venue. Full Concierge® service with venue booking, décor, catering, and entertainment."
svc-svc-celebrate-7a925790,Birthday Pawty Planning - Resort Experience,14999,celebrate,party-planning,,"Luxury resort birthday experience. Exclusive venue, gourmet menu, spa treatments, and overnight stay option for the birthday pup."
