name,pillar,category,price
Husky Comfort Bed,shop,beds,1499.0
Rottweiler Comfort Bed,shop,beds,1499.0
Dachshund Comfort Bed,shop,beds,1499.0
French Bulldog Comfort Bed,shop,beds,1499.0
Great Dane Comfort Bed,shop,beds,1499.0
Doberman Comfort Bed,shop,beds,1499.0
Maltese Comfort Bed,shop,beds,1499.0
Yorkshire Terrier Comfort Bed,shop,beds,1499.0
Lhasa Apso Comfort Bed,shop,beds,1499.0
Chihuahua Comfort Bed,shop,beds,1499.0
Spitz Comfort Bed,shop,beds,1499.0
Saint Bernard Comfort Bed,shop,beds,1499.0
Shiba Inu Comfort Bed,shop,beds,1499.0
Border Collie Comfort Bed,shop,beds,1499.0
Akita Comfort Bed,shop,beds,1499.0
Dalmatian Comfort Bed,shop,beds,1499.0
Bulldog Comfort Bed,shop,beds,1499.0
Poodle Comfort Bed,shop,beds,1499.0
Australian Shepherd Comfort Bed,shop,beds,1499.0
Cavalier King Charles Comfort Bed,shop,beds,1499.0
Bernese Mountain Dog Comfort Bed,shop,beds,1499.0
Samoyed Comfort Bed,shop,beds,1499.0
Corgi Comfort Bed,shop,beds,1499.0
Jack Russell Comfort Bed,shop,beds,1499.0
Weimaraner Comfort Bed,shop,beds,1499.0
Spitz Snuggle Blanket,shop,beds,899.0
Saint Bernard Snuggle Blanket,shop,beds,899.0
Shiba Inu Snuggle Blanket,shop,beds,899.0
Border Collie Snuggle Blanket,shop,beds,899.0
Akita Snuggle Blanket,shop,beds,899.0
Dalmatian Snuggle Blanket,shop,beds,899.0
Bulldog Snuggle Blanket,shop,beds,899.0
Poodle Snuggle Blanket,shop,beds,899.0
Australian Shepherd Snuggle Blanket,shop,beds,899.0
Cavalier King Charles Snuggle Blanket,shop,beds,899.0
Bernese Mountain Dog Snuggle Blanket,shop,beds,899.0
Samoyed Snuggle Blanket,shop,beds,899.0
Corgi Snuggle Blanket,shop,beds,899.0
Jack Russell Snuggle Blanket,shop,beds,899.0
Weimaraner Snuggle Blanket,shop,beds,899.0
Foster-to-Adopt Program,adopt,programs,0
TEST_Product_20260127163538,shop,,
