name,pillar,category,description,mira_whisper
Pet Café Visit,enjoy,experiences,Pet-friendly café experience with treats,Curated for your companion
Doggy Brunch Reservation,enjoy,experiences,Weekend brunch at pet-friendly restaurant,Curated for your companion
Home Chef Pet Meal,dine,meals,Fresh home-cooked meal for your pet,Curated for your companion
Gourmet Pet Platter,dine,meals,Premium selection of pet-safe treats,Curated for your companion
Pet Hotel Standard Room,stay,boarding,Comfortable overnight stay for your pet,"Safe, comfortable stay for your pet"
Luxury Pet Suite,stay,boarding,Premium suite with extra amenities,"Safe, comfortable stay for your pet"
Doggy Daycare Pass,stay,daycare,Full day supervised play and care,Supervised play and socialization
Pet Passport Service,paperwork,services,Complete documentation for international travel,All papers in order for worry-free travel
Pet Transport Service,travel,services,Door-to-door pet transportation,Stress-free travel solutions
Dog Park Meetup Pass,enjoy,events,Access to exclusive dog park events,Curated for your companion
Pet Photography Session,celebrate,experiences,Professional pet photoshoot,Capture beautiful memories together
Doggy Swimming Session,enjoy,activities,Supervised pool time for dogs,Low-impact exercise that dogs love
Dog Running Session,fit,fitness,Professional dog running service,Keep your companion healthy and active
Canine Yoga Class,learn,classes,Yoga session with your dog,Expert training and guidance
Weight Management Program,fit,weight,3-month fitness & diet program,Keep your companion healthy and active
Agility Training Session,learn,training,Obstacle course training,Professional training to build confidence and good behavior
Behaviour Assessment,learn,consultations,Professional behaviour evaluation,Expert training and guidance
Pet Life Planning,advisory,planning,Comprehensive pet care roadmap,Expert guidance for pet parents
Senior Pet Care Plan,advisory,planning,Specialized care for aging pets,Expert guidance for pet parents
Pet Insurance Assistance,insure,services,Help with insurance paperwork,Find the right coverage for your companion
Registration Service,paperwork,services,Pet registration and licensing,Hassle-free compliance with local regulations
Health Certificate,care,certificates,Official health documentation,Professional health monitoring and care
Microchip Registration,paperwork,documentation,Microchip and database registration,Hassle-free compliance with local regulations
Pet Will & Trust Setup,paperwork,legal,Legal pet care documentation,Simplify pet documentation
Emergency Transport Service,travel,emergency,Priority pet ambulance service,Expert help when you need it most
Lost Pet Recovery Plan,emergency,services,GPS tracking and recovery service,Help when you need it most
Emergency Fund Setup,emergency,financial,Pet emergency savings plan setup,Expert help when you need it most
Adoption Counselling,adopt,services,Expert guidance for pet adoption,Find your perfect companion match
Home Assessment Service,fit,services,Pet-proofing home consultation,Keep your companion healthy and active
Puppy Picnic Set,enjoy,experiences,Complete picnic setup for you and your pet,Foundation training for lifelong good behavior
Pet Food Tasting Session,enjoy,experiences,Sample premium pet foods,Curated for your companion
Pet Chef Consultation,advisory,consultations,One-on-one with pet nutrition chef,Expert guidance for your companion's needs
Doggy Ice Cream Party,celebrate,events,Ice cream party for pets,Celebrate with your furry friend
Pet Bakery Tour,enjoy,experiences,Behind the scenes at pet bakery,Curated for your companion
Weekly Meal Prep Service,dine,services,Fresh meals prepared weekly,Curated for your companion
Pet Wine & Dine Night,enjoy,experiences,Luxury dining experience,Curated for your companion
Pet Nutrition Workshop,learn,classes,Learn about pet nutrition,Personalized diet plan for optimal health
Cat Condo Rental,stay,boarding,Private cat accommodation,"Safe, comfortable stay for your pet"
VIP Pet Penthouse,stay,boarding,Top-floor luxury suite,"Safe, comfortable stay for your pet"
Home Pet Sitting,care,services,In-home pet care service,Personalized care in familiar surroundings
Overnight Pet Nanny,care,services,24-hour in-home care,Professional care for your companion
Pet Vacation Resort,stay,boarding,Resort-style boarding,"Safe, comfortable stay for your pet"
Senior Pet Care Room,stay,boarding,Specialized senior pet boarding,"Safe, comfortable stay for your pet"
Puppy Kindergarten Stay,stay,boarding,Socialization-focused boarding,Foundation training for lifelong good behavior
Pet Hotel Pool Access,stay,amenities,Swimming pool day pass,"Safe, comfortable stay for your pet"
Extended Stay Discount,stay,packages,30-day boarding package,"Safe, comfortable stay for your pet"
Special Needs Boarding,stay,boarding,Medical care included,"A safe, loving home away from home"
Holiday Pet Hotel,stay,boarding,Festive themed stays,"Safe, comfortable stay for your pet"
Pet Playgroup Session,enjoy,activities,Supervised group play,Curated for your companion
Pet Travel Insurance,travel,insurance,Comprehensive coverage,Stress-free journeys for your companion
Airline Pet Booking,travel,services,Flight booking assistance,Stress-free travel solutions
Pet Hotel Finder,stay,services,Find pet-friendly stays,"Safe, comfortable stay for your pet"
International Vet Check,care,services,Travel health certificate,Professional health care and prevention
Pet Relocation Service,travel,relocation,Complete moving service,Complete relocation support
Doggy Birthday Party,celebrate,events,Full birthday celebration,Make their special day unforgettable
Pet Spa Day,care,experiences,Relaxation and pampering,Relaxation and pampering they deserve
Dog Beach Day,enjoy,activities,Beach outing package,Curated for your companion
Pet Movie Night,enjoy,events,Outdoor cinema for pets,Curated for your companion
Hiking Trail Pass,enjoy,activities,Access to pet trails,Curated for your companion
Pet Art Class,learn,classes,Create art with your pet,Expert training and guidance
Doggy Yoga Session,learn,classes,Doga class for you both,Expert training and guidance
Sunrise Dog Walk,enjoy,activities,Group morning walks,Curated for your companion
Pet Costume Party,celebrate,events,Themed costume event,Celebrate with your furry friend
Doggy Dance Class,learn,classes,Learn tricks together,Expert training and guidance
Pet Camping Trip,enjoy,experiences,Overnight camping adventure,Curated for your companion
Bubble Play Session,enjoy,activities,Pet-safe bubble fun,Curated for your companion
Pet Photobooth Access,enjoy,experiences,Fun photo opportunities,Curated for your companion
Hydrotherapy Session,fit,therapy,Water-based exercise,Therapeutic exercise for recovery and mobility
Personal Dog Trainer,learn,training,One-on-one training,Expert training and guidance
Treadmill Training,learn,fitness,Indoor running session,Professional training to build confidence and good behavior
Canine CrossFit,fit,fitness,High-intensity workout,Keep your companion healthy and active
Swimming Lessons,learn,classes,Learn to swim safely,Low-impact exercise that dogs love
Obstacle Course Pass,enjoy,activities,Access to agility course,Curated for your companion
Canine Massage Session,care,wellness,Post-workout recovery,Professional care for your companion
Monthly Fitness Plan,fit,programs,Customized workout plan,Customized fitness plan for optimal health
Balance Ball Training,learn,classes,Core strengthening,Professional training to build confidence and good behavior
Sprint Training Session,learn,fitness,Speed and agility,Professional training to build confidence and good behavior
Basic Obedience Course,learn,training,Foundation training,"Build a well-mannered, responsive companion"
Puppy Socialization Class,learn,classes,Early social skills,Foundation training for lifelong good behavior
Advanced Commands Training,learn,courses,Complex commands,Professional training to build confidence and good behavior
Trick Training Workshop,learn,workshops,Fun tricks to learn,Professional training to build confidence and good behavior
Behaviour Modification,learn,programs,Address problem behaviours,Expert training and guidance
Service Dog Training,learn,specialized,Professional service training,Professional training to build confidence and good behavior
Therapy Dog Certification,fit,certification,Become a therapy team,Keep your companion healthy and active
Recall Training Intensive,learn,courses,Perfect recall every time,Professional training to build confidence and good behavior
House Training Program,learn,programs,Potty training success,Professional training to build confidence and good behavior
Separation Anxiety Course,learn,courses,Build independence,Expert training and guidance
Canine Good Citizen Prep,learn,certifications,CGC certification prep,Expert training and guidance
Online Training Course,learn,training,Learn at your pace,Professional training to build confidence and good behavior
Group Training Classes,learn,classes,Social learning,Professional training to build confidence and good behavior
Private Training Session,learn,training,One-on-one instruction,Professional training to build confidence and good behavior
Reactive Dog Workshop,learn,workshops,Help reactive dogs,Expert training and guidance
Nose Work Introduction,learn,classes,Scent detection basics,Expert training and guidance
Annual Wellness Checkup,care,checkups,Comprehensive health exam,"Preventive care for a healthy, happy life"
Dental Cleaning,care,dental,Professional dental care,Maintain fresh breath and healthy teeth
Flea & Tick Prevention,care,preventive,Monthly protection,Professional care for your companion
Microchipping Service,paperwork,services,Permanent ID implant,Peace of mind if your pet ever gets lost
Allergy Testing,care,diagnostics,Identify allergies,Professional care for your companion
Blood Panel Test,care,diagnostics,Complete blood work,Professional care for your companion
Heartworm Prevention,care,preventive,Monthly heartworm protection,Professional care for your companion
Anxiety Relief Drops,care,wellness,Natural calming aid,Professional care for your companion
Pain Management Plan,care,treatments,Chronic pain care,Professional care for your companion
Wellness Blood Test,care,diagnostics,Preventive screening,Professional care for your companion
New Pet Parent Consult,advisory,consultations,First-time owner guidance,Expert guidance for pet parents
Multi-Pet Household Plan,advisory,planning,Managing multiple pets,Expert guidance for pet parents
Pet Insurance Review,insure,financial,Insurance comparison,Find the right coverage for your companion
Vet Selection Assistance,care,guidance,Find the right vet,Professional health care and prevention
Pet Budget Planning,advisory,financial,Financial pet planning,Expert guidance for pet parents
Exercise Plan Consult,advisory,consultations,Custom fitness plan,Expert guidance for pet parents
Diet Transition Plan,advisory,planning,Safe food switching,Expert guidance for pet parents
Pet Safety Audit,fit,assessments,Home safety check,Keep your companion healthy and active
Training Method Consult,learn,consultations,Find right training style,Professional training to build confidence and good behavior
End-of-Life Planning,advisory,planning,Compassionate guidance,Expert guidance for pet parents
Rehoming Consultation,advisory,consultations,Responsible rehoming help,Expert guidance for your companion's needs
Personal Fitness Assessment,fit,fitness_assessment,"Comprehensive fitness evaluation for your pet including body condition score, mobility check, and pe",Customized fitness plan for optimal health
Agility Training Sessions (4 Pack),learn,exercise_plan,"Fun agility training sessions to improve coordination, confidence and fitness",Professional training to build confidence and good behavior
Swimming Therapy Session,fit,exercise_plan,Low-impact aquatic exercise perfect for senior pets or those recovering from injury,Low-impact exercise that dogs love
Puppy Foundation Course,learn,puppy_training,"Essential training for puppies 8-16 weeks covering socialisation, basic commands, and house training",Foundation training for lifelong good behavior
Basic Obedience Training (8 Sessions),learn,basic_obedience,"Master sit, stay, come, heel, and leash walking with certified trainers",Professional training to build confidence and good behavior
Behaviour Modification Programme,learn,behavior_modification,"Address specific behavioural issues like aggression, anxiety, or excessive barking",Expert training and guidance
Advanced Tricks & Commands,learn,advanced_training,"Fun advanced training including tricks, off-leash reliability, and complex commands",Expert training and guidance
Private In-Home Training Session,learn,basic_obedience,One-on-one training session at your home for personalised attention,Professional training to build confidence and good behavior
Spa Bath & Pamper Session,care,spa_bath,"Luxury spa experience with aromatherapy bath, massage, and premium conditioning","Refreshing bath for a clean, happy companion"
Nail Trim & Paw Care,care,nail_care,Professional nail trimming with paw pad moisturising treatment,Keep paws healthy and comfortable
Breed-Specific Styling,care,styling,Expert breed-standard styling by certified groomers familiar with your breed,Professional care for your companion
Behaviour Consultation,learn,behaviour,60-minute consultation with certified animal behaviourist to address concerns,Expert guidance for your companion's needs
Nutrition Planning Session,advisory,nutrition,Personalised nutrition plan developed by veterinary nutritionist,Personalized diet plan for optimal health
Senior Pet Care Consultation,advisory,consultation,Comprehensive guidance for caring for your ageing pet with comfort and dignity,Expert guidance for your companion's needs
New Pet Parent Coaching,advisory,coaching,One-on-one coaching for new pet parents covering everything from feeding to training,Expert guidance for pet parents
Breed Selection Guidance,advisory,breed_selection,Expert advice to help you choose the perfect breed for your lifestyle,Expert guidance for pet parents
Pet Passport Application Service,travel,travel,Complete assistance with pet passport application including documentation and vet coordination,All papers in order for worry-free travel
KCI Registration Assistance,paperwork,documentation,Help with Kennel Club of India registration including pedigree verification,Hassle-free compliance with local regulations
Medical Records Digitisation,paperwork,medical,Convert all physical medical records to secure digital format with cloud backup,Simplify pet documentation
Import/Export Documentation,paperwork,documentation,Complete documentation assistance for international pet relocation,Simplify pet documentation
24/7 Emergency Helpline Subscription,emergency,helpline,Annual subscription to 24/7 veterinary emergency helpline with instant advice,Expert help when you need it most
Lost Pet Alert Service,emergency,lost_pet,"Instant alert broadcast to local community, shelters, and veterinary clinics",Help when you need it most
First Aid Training Course,learn,training,Learn essential pet first aid skills from certified professionals,Professional training to build confidence and good behavior
Adoption Application Processing,adopt,adoption_process,Complete adoption application processing with background checks and home visit,Find your perfect companion match
Adoption Counselling Session,advisory,consultation,Expert guidance to help you find the perfect pet match for your family,Find your perfect companion match
Shelter Support Donation,adopt,donation,Direct donation to partner shelters to support rescued animals,Find your perfect companion
Private Cremation Service,farewell,cremation,Dignified private cremation with ashes returned in an elegant urn,A dignified farewell for your beloved companion
Rainbow Bridge Ceremony,farewell,ceremony,Touching farewell ceremony with readings and memorial moment,Compassionate support during difficult times
Grief Support Counselling,farewell,grief_support,Professional pet loss counselling to help you through this difficult time,We're here for you during this difficult time
Paw Print Memorial,farewell,memorial,Professional clay paw print impression as a lasting tribute,Honor the love you shared together
Basic Health Coverage,care,insurance,Essential health insurance covering accidents and basic illnesses,Professional health monitoring and care
Comprehensive Pet Insurance,insure,comprehensive,"Full coverage including accidents, illness, surgeries, and preventive care",Find the right coverage for your companion
Senior Pet Insurance,insure,senior_coverage,Specialised coverage for pets over 7 years with pre-existing condition options,Find the right coverage for your companion
Wellness Add-On,care,wellness,Add preventive care coverage including vaccinations and annual check-ups,Professional care for your companion
Travel Insurance for Pets,travel,travel_insurance,Coverage for pets during domestic and international travel,Stress-free journeys for your companion
Dog Park Meetup Pass (Monthly),enjoy,meetups,Monthly pass for organised dog park meetups with socialisation activities,Curated for your companion
Pet Parent Social Club Membership,community,membership,Annual membership to exclusive pet parent community with events and networking,Curated for your companion
Breed-Specific Playdate,community,playdates,Organised playdate with dogs of the same breed for specialised socialisation,Curated for your companion
Pet-Friendly Event Ticket,enjoy,events,Entry to premium pet-friendly events including festivals and exhibitions,Curated for your companion
Pet Photography Meetup,celebrate,photo_meetup,Join other pet parents for a fun photo session with professional photographer,Capture beautiful memories together
Complete Fitness Transformation,fit,fitness_bundle,"12-week programme combining assessment, weight management, and exercise sessions",Customized fitness plan for optimal health
Puppy Learning Journey,learn,training_bundle,Complete puppy training from foundation through basic obedience,Foundation training for lifelong good behavior
Ultimate Pamper Day,care,grooming_bundle,"Full day of pampering including spa bath, full grooming, and de-shedding",Professional care for your companion
New Pet Parent Essentials,advisory,advisory_bundle,"Everything new pet parents need including coaching, nutrition, and behaviour guidance",Expert guidance for pet parents
Complete Protection Plan,insure,insurance_bundle,Full insurance coverage with wellness add-on and travel protection,Curated for your companion
IATA Approved Travel Crate - Small,travel,travel,,Stress-free journeys for your companion
IATA Approved Travel Crate - Medium,travel,travel,,Stress-free journeys for your companion
IATA Approved Travel Crate - Large,travel,travel,,Stress-free journeys for your companion
Portable Pet Water Bottle,travel,travel,,Stress-free travel solutions
GPS Smart ID Tag,travel,travel,,Stress-free travel solutions
Premium Deshedding Brush,care,care,,Professional care for your companion
Safety Nail Clipper Set,care,care,,Keep paws healthy and comfortable
Gentle Oatmeal Shampoo,dine,care,,Curated for your companion
Ear Cleaning Solution,care,care,,Professional care for your companion
Biodegradable Poop Bags (120 Count),care,care,,Professional care for your companion
Calming Pheromone Spray,care,care,,Professional care for your companion
Pet Dining Placemat,dine,dine,,Curated for your companion
Dine-Time Calming Spray,dine,dine,,Curated for your companion
Café Ready Bandana,dine,dine,,Curated for your companion
Reusable Pup Cup,dine,dine,,Curated for your companion
Outdoor Dining Mat,dine,dine,,Curated for your companion
Café Cooling Vest,dine,dine,,Curated for your companion
Fresh Breath Dental Chews,care,dine,,Maintain fresh breath and healthy teeth
Dog Yoga Mat,fit,fit,Non-slip yoga mat designed for pet stretching and relaxation exercises. Perfect for doga sessions wi,Keep your companion healthy and active
Interactive Fetch Launcher,fit,fit,Automatic ball launcher with adjustable distance settings. Great for high-energy dogs who love fetch,Keep your companion healthy and active
Swimming Vest (All Sizes),fit,fit,High-visibility flotation vest for water-loving dogs. Adjustable straps and handle for easy lifting.,Low-impact exercise that dogs love
Treadmill for Dogs,fit,fit,Indoor exercise solution for dogs. Variable speed settings and safety rails. Perfect for rainy days ,Keep your companion healthy and active
Standard Boarding - 1 Night,stay,boarding,Comfortable overnight stay with meals,"A safe, loving home away from home"
Premium Suite - 1 Night,stay,boarding,Luxury suite with AC and webcam access,"Safe, comfortable stay for your pet"
Daycare Pass - Single Day,stay,daycare,Full day of play and supervision,Supervised play and socialization
Daycare Pack - 10 Days,stay,daycare,10-day daycare pass with 2 bonus days,Supervised play and socialization
Home Boarding Service,stay,boarding,Stay with a certified pet host,"A safe, loving home away from home"
Puppy Daycare (under 1 Year),stay,daycare,Specialized care for young puppies,Foundation training for lifelong good behavior
Senior Dog Stay,stay,boarding,Gentle care for senior pets,"Safe, comfortable stay for your pet"
Medical Boarding,stay,boarding,Boarding with medication administration,"A safe, loving home away from home"
Holiday Pet Sitting,care,boarding,In-home pet sitting during holidays,Personalized care in familiar surroundings
Airport Pickup & Drop,stay,services,Pet transport to/from airport,Seamless airport experience for your pet
International Flight Assistance,travel,services,End-to-end international travel support,Stress-free travel solutions
Pet-Friendly Hotel Booking,stay,services,We find the perfect pet-friendly stay,"Safe, comfortable stay for your pet"
Full Grooming Session,care,grooming,"Bath, haircut, nail trim, ear cleaning","Professional grooming for a healthy, beautiful coat"
Puppy First Groom,care,grooming,Gentle introduction to grooming,Foundation training for lifelong good behavior
Flea & Tick Prevention Pack,care,health,3-month protection pack,Professional care for your companion
Joint Support Supplements,care,health,Glucosamine & chondroitin formula,Professional care for your companion
Skin & Coat Supplements,care,health,Omega-rich formula for shiny coat,Professional care for your companion
Vet Video Consultation,care,health,Online vet consultation,Professional health care and prevention
Dog Park Playdate Booking,enjoy,services,Organized playdate at local park,Curated for your companion
Swimming Pool Session,enjoy,services,Supervised pool time for dogs,Low-impact exercise that dogs love
Agility Course Access,fit,services,Access to agility training course,Fun exercise that strengthens your bond
Personal Training Session,learn,training,One-on-one fitness training,Professional training to build confidence and good behavior
Weight Loss Program (4 Weeks),fit,programs,Structured weight management program,Keep your companion healthy and active
Puppy Fitness Starter,fit,programs,Age-appropriate exercise program,Foundation training for lifelong good behavior
Senior Mobility Program,fit,programs,Gentle exercises for older dogs,Keep your companion healthy and active
Canine Treadmill Session,learn,training,Supervised treadmill workout,Expert training and guidance
Swimming Fitness Class,learn,training,Low-impact aqua fitness,Low-impact exercise that dogs love
Agility Training Course,learn,programs,8-week agility training program,Professional training to build confidence and good behavior
Monthly Fitness Subscription,fit,programs,Unlimited fitness sessions,Customized fitness plan for optimal health
Dog Yoga (Doga) Session,learn,training,Relaxing yoga with your dog,Expert training and guidance
Puppy Kindergarten (8 Weeks),learn,training,Foundation training for puppies,Foundation training for lifelong good behavior
Advanced Training Program,learn,training,Complex commands & tricks,Professional training to build confidence and good behavior
Behavior Modification,learn,training,Address specific behavior issues,Expert training and guidance
Socialization Classes,learn,training,Safe exposure to new experiences,Expert training and guidance
Trick Training Course,learn,training,Fun tricks to impress everyone,Professional training to build confidence and good behavior
Pet Registration Service,paperwork,documentation,Complete municipal registration,Hassle-free compliance with local regulations
Pet Insurance Consultation,advisory,consultation,Find the right pet insurance,Expert guidance for your companion's needs
Vaccination Record Book,paperwork,documentation,Official vaccination record,Keep your companion protected and healthy
Pet Will & Trust Service,paperwork,legal,Legal protection for your pet's future,Simplify pet documentation
Breeding License Assistance,paperwork,documentation,Help with breeding permits,Simplify pet documentation
Pre-Adoption Counseling,advisory,consultation,Choose the right pet for your family,Professional support and guidance
New Pet Parent Guidance,advisory,consultation,Everything you need to know,Expert guidance for pet parents
Multi-Pet Household Advisory,advisory,consultation,Introducing new pets safely,Expert guidance for pet parents
Breed Selection Service,advisory,consultation,Find your perfect breed match,Expert guidance for pet parents
Pet-Proofing Home Audit,advisory,services,Make your home pet-safe,Expert guidance for pet parents
24/7 Emergency Vet Hotline,care,emergency,Round-the-clock vet access,Professional health care and prevention
First Aid Training Workshop,learn,training,Learn pet first aid,Professional training to build confidence and good behavior
Poison Control Consultation,advisory,emergency,Immediate toxicity guidance,Expert guidance for your companion's needs
Lost Pet Search Service,emergency,services,Professional pet search team,Help when you need it most
Cremation Service - Standard,farewell,cremation,Dignified cremation service,A dignified farewell for your beloved companion
Cremation Service - Premium,farewell,cremation,Private cremation with ceremony,A dignified farewell for your beloved companion
Paw Print Keepsake,farewell,memorial,Clay paw print impression,Compassionate support during difficult times
Photo Memorial Frame,farewell,memorial,Custom photo memorial,Honor the love you shared together
Memorial Garden Stone,farewell,memorial,Engraved garden memorial,Honor the love you shared together
Pet Loss Counseling Session,farewell,services,Grief support counseling,Professional support and guidance
Adoption Counseling,adopt,services,Free adoption guidance,Professional support and guidance
Rescue Dog Rehabilitation,adopt,services,Behavior support for rescues,Find your perfect companion
Foster-to-Adopt Program,adopt,programs,Try before you commit,Find your perfect companion match
Senior Pet Adoption Support,adopt,services,Support for adopting older pets,Find your perfect companion match
Second Chance Sponsorship,adopt,donation,Sponsor a shelter pet,Find your perfect companion
Grooming Brush Set,care,grooming,Complete brush collection,"Professional grooming for a healthy, beautiful coat"
Birthday Pawty Planning - Home,celebrate,party-planning,"Complete birthday celebration planning at your home. Includes décor, cake coordination, photography,",Make their special day unforgettable
Birthday Pawty Planning - Café/Venue,celebrate,party-planning,Premium birthday celebration at a pet-friendly café or venue. Full Concierge® service with venue boo,Make their special day unforgettable
Birthday Pawty Planning - Resort Experience,stay,party-planning,"Luxury resort birthday experience. Exclusive venue, gourmet menu, spa treatments, and overnight stay",Make their special day unforgettable
Milestone Celebration - Puppy to Adult,celebrate,milestone,Mark your puppy's transition to adulthood with a special ceremony. Includes growth photo compilation,Foundation training for lifelong good behavior
Milestone Celebration - Senior Honours,celebrate,milestone,Honour your pet's golden years with a dignified senior celebration. Gentle activities suited to thei,Make special moments memorable
Surprise Delivery & Moment,celebrate,surprise,"Surprise your pet parent with an unexpected celebration delivery. Perfect for birthdays, anniversari",Make special moments memorable
Party Coordination Service,celebrate,coordination,"Full party coordination without venue booking. We handle décor, cake, invites, and guest management.",Celebrate with your furry friend
Breed Day Celebration,celebrate,breed-day,Celebrate your pet's breed heritage on their official Breed Day. Connect with other breed enthusiast,Make special moments memorable
Adoption Anniversary Ritual,adopt,anniversary,Annual ritual to celebrate the bond between you and your adopted pet. Includes donation to rescue or,Find your perfect companion match
Nutrition Assessment & Meal Plan,fit,consultation,Comprehensive nutrition assessment by a certified pet nutritionist. Personalised meal plan based on ,Personalized diet plan for optimal health
Diet Transition Support,dine,support,Guided transition to new food with monitoring and adjustments. Ideal for switching to fresh food or ,Curated for your companion
Allergy Testing & Diet Planning,care,health,Comprehensive food allergy testing with elimination diet planning. Identify triggers and create a sa,Professional care for your companion
Home Cooking Workshop,dine,workshop,Learn to prepare nutritious homemade meals for your pet. Hands-on workshop with recipes and tips.,Curated for your companion
Meal Prep Service - Weekly,dine,meal-prep,Weekly meal preparation and portioning service. Fresh meals prepared and delivered to your doorstep.,Curated for your companion
Boarding Concierge® - Standard,stay,boarding,Full-service boarding coordination with our Concierge® team. We find the perfect stay based on your ,"A safe, loving home away from home"
Boarding Concierge® - Premium,stay,boarding,"Premium boarding with luxury amenities. Private suite, spa treatment, and personalised attention.","A safe, loving home away from home"
Daycare Planning & Coordination,stay,daycare,"Regular daycare scheduling and coordination. We manage bookings, transportation, and daily reports.",Supervised play and socialization
Home Pet Sitter Matching,care,pet-sitting,"We match you with a vetted, compatible home pet sitter. Your pet stays in a loving home environment.",Find the perfect companion for your lifestyle
Trial Stay Experience,stay,trial,Short trial stay to help your pet adjust to boarding. Perfect for anxious pets or first-timers.,"Safe, comfortable stay for your pet"
Pet Travel Planning - Domestic,travel,planning,"Complete domestic travel planning for you and your pet. Flight/train bookings, pet-friendly stays, a",Stress-free journeys for your companion
Pet Travel Planning - International,travel,planning,"Comprehensive international travel planning including documentation, quarantine requirements, and ai",Stress-free journeys for your companion
Pet Relocation Service - Domestic,travel,relocation,End-to-end pet relocation within India. Door-to-door service with climate-controlled transport.,Complete relocation support
Pet Relocation Service - International,travel,relocation,"Complete international pet relocation with all documentation, customs clearance, and destination del",Complete relocation support
Travel Documentation Service,travel,documentation,"We handle all pet travel documentation - health certificates, import permits, and airline forms.",Stress-free journeys for your companion
Airport Assistance Service,travel,assistance,"Personal assistance at the airport for pet check-in, security, and boarding. Reduces travel stress.",Seamless airport experience for your pet
Pet-Friendly Destination Research,advisory,research,"Detailed research on pet-friendly destinations, activities, and accommodations for your trip.",Expert guidance for pet parents
Grooming Concierge® - Full Service,care,grooming,"Premium grooming with Concierge® coordination. We book, transport, and ensure your pet's comfort thr","Professional grooming for a healthy, beautiful coat"
